,Player,Runs,Average,SR,HS,Innings,Buff
147,NLTC Perera,150,21.428571428571427,161.29032258064515,34,10,93
148,NM Coulter-Nile,23,7.666666666666668,88.46153846153845,7,5,26
149,NS Naik,23,11.5,74.19354838709677,22,2,31
150,NV Ojha,216,14.4,104.34782608695652,37,19,207
151,P Chopra,8,8.0,133.33333333333331,8,1,6
152,P Kumar,32,6.4,91.42857142857143,15,9,35
153,P Negi,204,17.0,116.57142857142857,35,18,175
154,P Sahu,19,19.0,146.15384615384613,18,2,13
155,PA Patel,725,23.387096774193548,130.86642599277977,81,32,554
156,Parvez Rasool,10,10.0,111.11111111111113,10,1,9
157,PJ Cummins,77,15.4,145.2830188679245,24,9,53
158,PJ Sangwan,2,0.6666666666666666,25.0,1,4,8
159,PP Chawla,56,7.0,84.84848484848484,12,11,66
160,PP Shaw,245,27.222222222222218,153.125,65,9,160
161,PSP Handscomb,6,6.0,50.0,6,1,12
162,PV Tambe,7,7.0,36.84210526315789,7,1,19
163,Q de Kock,646,32.3,132.10633946830262,108,21,489
164,R Ashwin,143,14.3,131.1926605504587,45,15,109
165,R Bhatia,50,25.0,135.13513513513513,21,8,37
166,R Dhawan,14,7.0,233.33333333333331,11,2,6
167,R Sathish,24,8.0,100.0,10,3,24
168,R Tewatia,69,17.25,127.77777777777777,24,7,54
169,R Vinay Kumar,19,19.0,126.66666666666666,12,3,15
170,RA Jadeja,438,24.33333333333333,120.32967032967032,36,35,364
171,RA Tripathi,617,26.82608695652174,142.16589861751154,93,26,434
172,Rashid Khan,70,10.0,175.0,34,10,40
173,RD Chahar,3,3.0,150.0,3,1,2
174,RG Sharma,1108,29.94594594594595,129.4392523364486,94,44,856
175,RK Bhui,0,0.0,0.0,0,1,5
176,RK Singh,29,7.25,93.54838709677419,16,4,31
177,RP Singh,0,0.0,0.0,0,0,0
178,RR Pant,1248,35.65714285714286,162.71186440677968,128,38,767
179,RV Uthappa,1133,25.75,143.59949302915084,87,44,789
180,S Aravind,32,8.0,80.0,9,8,40
181,S Badree,13,2.6,56.52173913043478,8,5,23
182,S Dhawan,1477,37.87179487179487,126.4554794520548,92,47,1168
183,S Gopal,52,13.0,85.24590163934425,24,5,61
184,S Kaul,3,1.0,18.75,2,5,16
185,S Kaushik,0,0.0,0.0,0,2,1
186,S Ladda,0,0.0,0.0,0,0,0
187,S Lamichhane,0,0.0,0.0,0,0,0
188,S Nadeem,9,3.0,40.90909090909091,6,6,22
189,SA Yadav,799,29.592592592592588,129.91869918699186,72,32,615
190,Sachin Baby,134,19.142857142857142,142.5531914893617,33,9,94
191,Sandeep Sharma,15,7.5,78.94736842105263,5,11,19
192,SB Jakati,1,1.0,50.0,1,1,2
193,SE Marsh,423,32.53846153846154,128.96341463414637,84,14,328
194,Shakib Al Hasan,354,22.125,116.44736842105264,66,21,304
195,Shivam Mavi,13,4.333333333333333,86.66666666666669,7,4,15
196,Shubman Gill,203,33.833333333333336,146.0431654676259,57,11,139
197,SK Raina,1286,34.756756756756765,134.65968586387436,84,44,955
198,SL Malinga,7,3.5,233.33333333333331,7,2,3
199,SM Boland,0,0.0,0.0,0,0,0
200,SN Khan,117,16.714285714285715,162.5,35,10,72
201,SN Thakur,15,5.0,187.5,15,4,8
