,Player,Runs,Wickets,Overs,Balls,Average,SR,Economy
204,SP Narine,1183,38,162.66666666666666,976,31.13157894736842,25.684210526315788,7.272540983606558
205,SPD Smith,0,0,0.0,732,0.0,0.0,0.0
206,SR Watson,981,31,111.33333333333331,668,31.64516129032258,21.548387096774192,8.811377245508982
207,SS Agarwal,42,1,4.0,24,42.0,24.0,10.5
208,SS Iyer,0,0,0.0,72,0.0,0.0,0.0
209,SS Tiwary,0,0,0.0,48,0.0,0.0,0.0
210,STR Binny,217,5,25.0,150,43.4,30.0,8.68
211,SV Samson,0,0,0.0,108,0.0,0.0,0.0
212,SW Billings,0,0,0.0,108,0.0,0.0,0.0
213,Swapnil Singh,90,1,10.0,60,90.0,60.0,9.0
214,T Natarajan,115,2,12.666666666666664,76,57.5,38.0,9.078947368421053
215,T Shamsi,147,3,16.0,96,49.0,32.0,9.1875
216,TA Boult,721,24,80.5,483,30.04166666666667,20.125,8.956521739130435
217,Tejas Baroka,33,0,3.5,21,0.0,0.0,9.428571428571429
218,TG Southee,686,17,82.0,492,40.352941176470594,28.94117647058824,8.365853658536585
219,TK Curran,118,6,10.166666666666666,61,19.666666666666668,10.166666666666666,11.606557377049182
220,TM Head,81,2,8.0,109,40.5,54.5,10.125
221,TS Mills,153,5,17.833333333333332,107,30.6,21.4,8.57943925233645
222,UBT Chand,0,0,0.0,107,0.0,0.0,0.0
223,UT Khawaja,0,0,0.0,107,0.0,0.0,0.0
224,UT Yadav,1062,47,127.66666666666666,766,22.59574468085107,16.29787234042553,8.318537859007831
225,V Kohli,13,0,1.0,644,0.0,0.0,13.0
226,V Shankar,58,1,5.0,36,58.0,36.0,11.6
227,Vishnu Vinod,0,0,0.0,30,0.0,0.0,0.0
228,VR Aaron,390,9,43.66666666666667,262,43.33333333333334,29.11111111111111,8.931297709923664
229,Washington Sundar,377,12,50.0,300,31.41666666666667,25.0,7.54
230,WP Saha,0,0,0.0,540,0.0,0.0,0.0
231,YK Pathan,88,3,12.0,72,29.33333333333333,24.0,7.333333333333332
232,YS Chahal,1097,47,142.66666666666666,856,23.340425531914892,18.21276595744681,7.6892523364485985
233,Yuvraj Singh,97,1,10.166666666666668,61,97.0,61.0,9.540983606557376
234,Z Khan,650,20,83.83333333333333,503,32.5,25.15,7.75347912524851
