batman,bowler,0,1,2,3,4,6,notout,balls
KK Nair,Mohammed Siraj,0.4285714286,0.7142857143,0.7142857143,0.7142857143,1,1,1,14
S Dhawan,Washington Sundar,0.4285714286,0.8571428571,0.8571428571,0.8571428571,1,1,1,14
DA Warner,DT Christian,0.4285714286,0.8571428571,0.8571428571,0.8571428571,1,1,1,14
DA Warner,Imran Tahir,0.1428571429,0.7142857143,0.8571428571,0.8571428571,0.8571428571,1,1,14
MC Henriques,SN Thakur,0.2142857143,0.5714285714,0.6428571429,0.6428571429,1,1,1,14
RV Uthappa,Imran Tahir,0.2857142857,0.7142857143,0.7142857143,0.7142857143,0.7857142857,1,1,14
SPD Smith,SL Malinga,0.4285714286,0.8571428571,0.9285714286,0.9285714286,1,1,0.9285714286,14
BB McCullum,SP Narine,0.3846153846,0.6153846154,0.7692307692,0.7692307692,1,1,1,13
G Gambhir,S Kaushik,0.3846153846,0.6153846154,0.6153846154,0.6153846154,1,1,1,13
G Gambhir,SB Jakati,0.2307692308,0.6153846154,0.9230769231,0.9230769231,1,1,1,13
CH Gayle,Z Khan,0.6153846154,0.8461538462,0.8461538462,0.8461538462,1,1,1,13
KM Jadhav,Z Khan,0.3846153846,0.8461538462,0.8461538462,0.8461538462,0.9230769231,1,0.9230769231,13
MK Pandey,MJ McClenaghan,0.3846153846,0.6153846154,0.6153846154,0.6153846154,0.7692307692,1,1,13
SA Yadav,KH Pandya,0.3076923077,0.6923076923,0.7692307692,0.7692307692,0.9230769231,1,1,13
HM Amla,YS Chahal,0.3846153846,0.7692307692,0.8461538462,0.8461538462,0.8461538462,1,1,13
SV Samson,Imran Tahir,0.3846153846,0.8461538462,0.9230769231,0.9230769231,0.9230769231,1,1,13
RG Sharma,Rashid Khan,0.3076923077,0.8461538462,0.8461538462,0.8461538462,0.9230769231,1,0.9230769231,13
KA Pollard,YS Chahal,0.3076923077,0.6923076923,0.7692307692,0.7692307692,0.8461538462,1,0.8461538462,13
BB McCullum,SN Thakur,0.4615384615,0.8461538462,0.8461538462,0.8461538462,1,1,0.9230769231,13
