batid,bowlid,batsman,bowler,0,1,2,3,4,6,out,batclustno,bowlclustno,balls
1,222,BB McCullum,Kuldeep Yadav,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,5,5,6,
209,222,SK Raina,Kuldeep Yadav,0.17391304347826084,0.6521739130434783,0.043478260869565216,0.0,0.08695652173913042,0.043478260869565216,0.043478260869565216,1,5,23,
1,216,BB McCullum,CR Woakes,0.75,0.25,0.0,0.0,0.0,0.0,0.25,5,4,4,
0,222,AJ Finch,Kuldeep Yadav,0.5,0.5,0.0,0.0,0.0,0.0,0.25,5,5,4,
209,143,SK Raina,YK Pathan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,2,
0,143,AJ Finch,YK Pathan,0.25,0.25,0.0,0.0,0.0,0.5,0.0,5,0,4,
201,222,KD Karthik,Kuldeep Yadav,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1,5,3,
209,233,SK Raina,TA Boult,0.2727272727272727,0.4545454545454545,0.0,0.0,0.2727272727272727,0.0,0.0,1,4,11,
201,233,KD Karthik,TA Boult,0.375,0.25,0.0,0.0,0.375,0.0,0.125,1,4,8,
201,155,KD Karthik,SP Narine,0.2857142857142857,0.42857142857142855,0.0,0.0,0.2857142857142857,0.0,0.0,1,1,7,
201,227,KD Karthik,PP Chawla,0.0,0.75,0.0,0.0,0.0,0.25,0.0,1,4,4,
201,216,KD Karthik,CR Woakes,0.0,0.5,0.0,0.0,0.25,0.25,0.0,1,4,4,
199,173,G Gambhir,P Kumar,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1,0,6,
2,173,CA Lynn,P Kumar,0.16666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,5,0,6,
199,217,G Gambhir,DS Kulkarni,0.35714285714285715,0.42857142857142855,0.0,0.0,0.21428571428571427,0.0,0.0,1,4,14,
2,217,CA Lynn,DS Kulkarni,0.2,0.2,0.2,0.0,0.1,0.3,0.0,5,4,10,
199,59,G Gambhir,MS Gony,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,1,5,9,
2,59,CA Lynn,MS Gony,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,5,5,6,
199,207,G Gambhir,S Kaushik,0.38461538461538464,0.2307692307692308,0.0,0.0,0.38461538461538464,0.0,0.0,1,2,13,
2,207,CA Lynn,S Kaushik,0.4545454545454545,0.2727272727272727,0.0,0.0,0.18181818181818185,0.09090909090909093,0.0,5,2,11,
2,188,CA Lynn,DR Smith,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.5,0.0,5,5,6,
2,208,CA Lynn,SB Jakati,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,5,2,7,
199,208,G Gambhir,SB Jakati,0.2307692307692308,0.38461538461538464,0.3076923076923077,0.0,0.07692307692307693,0.0,0.0,1,2,13,
196,154,AM Rahane,Sandeep Sharma,0.4,0.5333333333333333,0.06666666666666668,0.0,0.0,0.0,0.0,1,5,15,
180,154,MA Agarwal,Sandeep Sharma,1.0,0.0,0.0,0.0,0.0,0.0,0.25,3,5,4,
16,154,SPD Smith,Sandeep Sharma,0.25,0.5,0.0,0.0,0.25,0.0,0.0,5,5,8,
196,152,AM Rahane,MM Sharma,0.25,0.5,0.0,0.0,0.125,0.125,0.0,1,5,8,
16,152,SPD Smith,MM Sharma,0.6,0.4,0.0,0.0,0.0,0.0,0.0,5,5,5,
16,146,SPD Smith,AR Patel,0.25,0.75,0.0,0.0,0.0,0.0,0.0,5,5,12,
196,146,AM Rahane,AR Patel,0.125,0.75,0.0,0.0,0.125,0.0,0.0,1,5,8,
16,137,SPD Smith,T Natarajan,0.4,0.2,0.2,0.0,0.2,0.0,0.0,5,0,5,
196,137,AM Rahane,T Natarajan,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,
214,146,BA Stokes,AR Patel,0.3636363636363637,0.4545454545454545,0.0,0.0,0.09090909090909093,0.09090909090909093,0.09090909090909093,0,5,11,
