batsman,bowler,0,1,2,3,4,6,out,batclustno,bowlclustno,balls
TS Mills,CH Morris,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,3,4,3
AP Tare,B Stanlake,0.7,0.1,0.0,0.0,0.2,0.0,0.0,3,2,10
SW Billings,B Stanlake,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0,2,6
SW Billings,YS Chahal,0.2857142857142857,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.0,0,1,7
AP Tare,YS Chahal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,2
SW Billings,Iqbal Abdulla,0.2,0.6,0.2,0.0,0.0,0.0,0.2,0,2,5
AP Tare,Iqbal Abdulla,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,3,2,3
SW Billings,TS Mills,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1
AP Tare,TS Mills,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,3,0,3
KK Nair,TS Mills,0.5,0.0,0.0,0.0,0.5,0.0,0.0,5,0,2
KK Nair,B Stanlake,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,2,1
SV Samson,B Stanlake,0.4,0.2,0.0,0.2,0.2,0.0,0.2,1,2,5
SV Samson,YS Chahal,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,1,4
SV Samson,Iqbal Abdulla,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,2
RR Pant,Iqbal Abdulla,0.4444444444444444,0.2222222222222222,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,1,2,9
RR Pant,YS Chahal,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.0,0.0,0.0,0.0,1,1,11
RR Pant,TS Mills,0.1,0.5,0.1,0.0,0.2,0.1,0.0,1,0,10
SV Samson,TS Mills,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1
RR Pant,B Stanlake,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,2,2
CH Morris,B Stanlake,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2,1
CH Morris,SR Watson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,2
RR Pant,SR Watson,0.2631578947368421,0.5789473684210527,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0,1,1,19
CH Morris,Iqbal Abdulla,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0,2,2
CR Brathwaite,SR Watson,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,2,1,3
CR Brathwaite,YS Chahal,1.0,0.0,0.0,0.0,0.0,0.0,0.5,2,1,2
PJ Cummins,YS Chahal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1
PJ Cummins,TS Mills,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,4,0,3
PJ Cummins,SR Watson,0.5,0.0,0.0,0.0,0.5,0.0,0.5,4,1,2
A Mishra,SR Watson,0.75,0.25,0.0,0.0,0.0,0.0,0.0,4,1,8
A Mishra,TS Mills,0.25,0.5,0.25,0.0,0.0,0.0,0.0,4,0,4
RR Pant,P Negi,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,1
